Seq.,PDX,TGI,log(kl),KI-histogram,auc,auc_control,auc_control_norm,auc_gp,auc_gp_control,auc_norm,average_angle,average_angle_control,average_angle_rel,average_angle_rel_control,delta_log_likelihood,direction,drug,gp_deriv,gp_deriv_control,kl,kl_p_cvsc,kl_p_value,mRECIST,num_mCR,num_mPD,num_mPR,num_mSD,number_replicates,number_replicates_control,perc_mCR,perc_mPD,perc_mPR,perc_mSD,perc_true_credible_intervals,response_angle,response_angle_control,response_angle_rel,response_angle_rel_control,tumour_type
176,NA,2.095717884,0.898471053,14.82405706,1:-34.25_2:-19.75_3:-11.5_4:-11.5,1:[ 11.25]_2:[ 11.5]_3:[ 34.75]_4:[ 3.5],1:[ 0.08255431]_2:[ 0.12084371]_3:[ 0.16393983]_4:[ 0.02122357],-0.261730065,0.719830808,1:-0.243677979349_2:-0.240021006737_3:-0.242909657484_4:-0.149885150368,-1.418227848,1.543166016,-0.049604302,0.283373819,97.2581363,0.632526435,NA,-0.020310249,0.089197573,7.915366939,1,1,1:mCR_2:mCR_3:mCR_4:mCR,4,0,0,0,4,4,1,0,0,0,0,1:-1.47962559153_2:-1.41470179988_3:-1.30770891062_4:-1.37373852178,1:1.55051639845_2:1.54349008049_3:1.5433820556_4:1.52607914445,1:-0.049677388789_2:-0.0496019234911_3:-0.0501324837656_4:-0.0490664338432,1:0.405019344477_2:0.459450248245_3:0.238494299551_4:0.140510094907,
117,NA,1.726991245,0.298673598,7.059594368,1:-29.44_2:-26.2033333333_3:-14.945,1:[ 5.57583333]_2:[ 50.03333333]_3:[ 36.49833333],1:[ 0.03428064]_2:[ 0.19691127]_3:[ 0.226796],-0.297441226,0.148242154,1:-0.346469590426_2:-0.244784383274_3:-0.113107282219,-1.380855806,1.413839711,-0.03399888,0.044877332,41.20898278,0.587291944,NA,-0.044713583,0.024446871,1.989177774,1,1,1:mCR_2:mCR_3:mSD,2,0,0,1,3,3,0.666666667,0,0,0.333333333,66.66666667,1:-1.43288230999_2:-1.41206137607_3:-1.13585979633,1:0.324757989472_2:1.46305889619_3:1.46451777998,1:-0.0470681452772_2:-0.0403608293269_3:-0.0142407182516,1:0.00219792237267_2:0.0549404015261_3:0.0927089136239,
92,NA,1.653460838,0.069316183,11.86566262,1:-12.8191666667_2:-15.5308333333_3:5.48833333333,1:[ 9.95083333]_2:[ 24.70333333]_3:[ 23.2125],1:[ 0.10830586]_2:[ 0.09798914]_3:[ 0.08356771],-0.081775851,0.111023704,1:-0.040261437542_2:-0.3173862058_3:0.0485355847557,-1.0255637,1.259613069,-0.009410059,0.01794403,6.394897863,0.308616314,NA,-0.013504499,0.018450266,1.173049079,1,1,1:mSD_2:mPR_3:mSD,0,0,1,2,3,3,0,0,0.333333333,0.666666667,83.33333333,1:-0.953006584616_2:-1.28009468721_3:-0.193620346657,1:0.942306045072_2:1.26245577497_3:1.36589046635,1:-0.00418154156381_2:-0.0393310391117_3:-0.0018837207221,1:0.0186817605706_2:0.0146309334138_3:0.0207796112996,
188,NA,1.64476628,1.071085358,24.80042375,1:-22.1066666667_2:-29.985_3:-30.455_4:-24.7058333333,1:[ 84.56666667]_2:[ 5.17083333]_3:[ 38.185]_4:[ 51.15083333]_5:[ 8.88166667]_6:[ 43.80083333]_7:[ 67.30583333]_8:[ 31.54416667],1:[ 0.33028591]_2:[ 0.03862192]_3:[ 0.23258425]_4:[ 0.23971999]_5:[ 0.0695167]_6:[ 0.25548291]_7:[ 0.32199947]_8:[ 0.21338592],-0.384091659,0.224768387,1:-0.306957772771_2:-0.303777799736_3:-0.393120151467_4:-0.263314785245,-1.407546244,1.473619775,-0.042239177,0.085339069,57.9850107,0.788533528,NA,-0.061260156,0.044406767,11.77837448,1,1,1:mPR_2:mSD_3:mPR_4:mPR,0,0,3,1,4,8,0,0,0.75,0.25,20,1:-1.39417921748_2:-1.36391083684_3:-1.42659424544_4:-1.42950169762,1:1.52301320033_2:0.944271428995_3:1.45605755021_4:1.49350823274_5:1.19140017496_6:1.48843572185_7:1.50750375051_8:1.44297340329,1:-0.0476487614695_2:-0.0311361221786_3:-0.0473178720431_4:-0.044275613587,1:0.152161888156_2:0.0109714968086_3:0.0766657439551_4:0.0924866515546_5:0.0218381330995_6:0.110544940993_7:0.130931982082_8:0.076854153866,
182,NA,1.411985019,0.994395603,31.55113195,1:-86.4166666667_2:-62.6666666667_3:-31.25_4:-40.1666666667,1:[ 106.16666667]_2:[ 154.58333333]_3:[ 223.5]_4:[ 146.33333333]_5:[ 189.08333333]_6:[ 71.41666667]_7:[ 15.5]_8:[ 106.91666667],1:[ 0.31720664]_2:[ 0.26055414]_3:[ 0.50727127]_4:[ 0.2668346]_5:[ 0.34573975]_6:[ 0.19082245]_7:[ 0.10627276]_8:[ 0.23181054],-0.500394833,0.279539029,1:-0.5667103814_2:-0.360284310037_3:-0.322019447934_4:-0.646728870776,-1.456751868,1.513677732,-0.034358373,0.065960415,107.3730078,1.298424801,NA,-0.057687544,0.03472002,9.871783072,1,1,1:mPR_2:mPR_3:mPR_4:mPR,0,0,4,0,4,8,0,0,1,0,25,1:-1.49384107855_2:-1.46786468828_3:-1.40156918375_4:-1.41626043405,1:1.49852263196_2:1.52988251913_3:1.53639076723_4:1.52087158037_5:1.52812706446_6:1.47153115389_7:1.3035111712_8:1.50630837274,1:-0.0331563955213_2:-0.0334852337029_3:-0.0326850065758_4:-0.0408650997955,1:0.073337350505_2:0.065748724759_3:0.1673366915_4:0.0564751993973_5:0.0763930365948_6:0.0359734225195_7:0.0280833865156_8:0.0486573819188,
199,NA,1.287556904,1.415262818,86.29831692,1:-55.3166666667_2:-48.3_3:-62.3166666667_4:-61.3166666667_5:-69.0833333333,1:[ 156.81666667]_2:[ 133.21666667]_3:[ 105.26666667]_4:[ 170.03333333]_5:[ 247.46666667],1:[ 0.30987907]_2:[ 0.2644237]_3:[ 0.23887247]_4:[ 0.32146299]_5:[ 0.38196354],-0.594110839,0.293619057,1:-0.469998154398_2:-0.60473205212_3:-0.711968048212_4:-0.595415358624_5:-0.966167746313,-1.475705442,1.531421969,-0.041746803,0.099296044,121.2259468,2.425039351,NA,-0.065005567,0.036349895,26.01733552,1,1,1:mPR_2:mPR_3:mPR_4:mCR_5:mCR,2,0,3,0,5,5,0.4,0,0.6,0,0,1:-1.46113766103_2:-1.46632200038_3:-1.46810746429_4:-1.48988991154_5:-1.48601167208,1:1.53006330179_2:1.52838640246_3:1.49572164492_4:1.53441308114_5:1.54452165569,1:-0.038466711251_2:-0.0421735603316_3:-0.041983543792_4:-0.0427966954356_5:-0.0429163772914,1:0.105821936781_2:0.0928753070375_3:0.0439948894613_4:0.113041034864_5:0.153461526594,
193,NA,1.253018992,1.176487038,33.22841783,1:-37.905_2:-25.1158333333_3:-47.6575,1:[ 119.8375]_2:[ 187.43083333]_3:[ 49.81833333],1:[ 0.38242441]_2:[ 0.40838546]_3:[ 0.23510425],-0.567009231,0.369384954,1:-0.381660639547_2:-0.397969801695_3:-0.503598680088,-1.424695458,1.533108625,-0.036530869,0.15816866,42.56596419,1.027196855,NA,-0.085411011,0.060780802,15.01367594,1,1,1:mPR_2:mPR_3:mPR,0,0,3,0,3,3,0,0,1,0,33.33333333,1:-1.42663301339_2:-1.30613178076_3:-1.46920282839,1:1.53198157372_2:1.54772956668_3:1.4755622296,1:-0.0316794030399_2:-0.030725284315_3:-0.0444732499048,1:0.177277788467_2:0.198093378498_3:0.0750861999128,
137,NA,1.249527911,0.478450569,20.36638646,1:-24.5975_2:20.2916666667_3:-0.6575,1:[ 142.80583333]_2:[ 103.70416667]_3:[ 81.04916667],1:[ 0.3683522]_2:[ 0.37996045]_3:[ 0.33281413],-0.077520568,0.3218534,1:-0.206186988735_2:0.131402373812_3:-0.0010539025054,-0.401243818,1.523741923,-0.002696791,0.135831784,3.335039957,0.567833294,NA,-0.011949591,0.05285186,3.009196643,1,1,1:mPR_2:mSD_3:mSD,0,0,1,2,3,3,0,0,0.333333333,0.666666667,33.33333333,1:-1.3744568172_2:1.33726128086_3:-0.422072281544,1:1.53384419816_2:1.52502653277_3:1.5034492216,1:-0.0297087353422_2:0.0335058982266_3:-0.00253190935446,1:0.137593067193_2:0.157856218892_3:0.110496178319,
192,NA,1.214873178,1.170489521,44.22938726,1:-15.6575_2:-11.1175_3:-26.3875,1:[ 97.50833333]_2:[ 125.12583333]_3:[ 53.46],1:[ 0.25332792]_2:[ 0.33791365]_3:[ 0.28726352],-0.22399289,0.311656409,1:-0.148153825118_2:-0.112083432484_3:-0.1331889486,-1.074190591,1.519860223,-0.010264496,0.109238867,43.62431783,0.569750432,NA,-0.036267943,0.049747387,14.80776524,1,1,1:mSD_2:mSD_3:mSD,0,0,0,3,3,3,0,0,0,1,0,1:-0.341433484505_2:-1.10104189497_3:-1.2688744895,1:1.52255623023_2:1.53513700802_3:1.47212301962,1:-0.00249736323531_2:-0.0155031572662_3:-0.0118923867058,1:0.0890426652917_2:0.140065009049_3:0.0952607476513,
119,NA,1.210698426,0.339140949,18.98065751,1:-29.2275_2:-49.3841666667_3:-25.065_4:-49.7108333333_5:-33.2066666667_6:-27.2225_7:-26.2341666667_8:-34.4808333333_9:-31.305_10:-33.5616666667,1:[ 416.44583333]_2:[ 154.925]_3:[ 110.84416667]_4:[ 267.5575]_5:[ 239.88833333]_6:[ 13.16166667]_7:[ 239.13333333]_8:[ 9.34916667]_9:[ 55.08583333]_10:[ 22.02],1:[ 0.66711545]_2:[ 0.44674472]_3:[ 0.44891049]_4:[ 0.58272199]_5:[ 0.56091692]_6:[ 0.10100453]_7:[ 0.5267685]_8:[ 0.07211929]_9:[ 0.23759253]_10:[ 0.14253652],-1.621940202,0.437960307,1:-0.766596539685_2:-3.05325341311_3:-0.491872451302_4:-0.61050469632_5:-0.67898968838_6:-0.545691965887_7:-0.390690164597_8:-3.04564452729_9:-0.693237483593_10:-3.03091809957,-1.28261934,1.517282412,-0.023779823,0.134301045,310.0297101,2.459777481,NA,-0.09532683,0.027146223,2.183438424,1,1,1:mCR_2:mCR_3:mCR_4:mCR_5:mCR_6:mCR_7:mCR_8:mCR_9:mCR_10:mCR,10,0,0,0,10,10,1,0,0,0,100,1:-1.23533986434_2:-1.35932245445_3:-1.21694425766_4:-1.37514164361_5:-1.29314951805_6:-1.23811815301_7:-1.26633310173_8:-1.22851199025_9:-1.25814437157_10:-1.24607281795,1:1.55324410013_2:1.53240240151_3:1.48693007395_4:1.53388782736_5:1.52549918009_6:1.06735063518_7:1.54084166902_8:0.990539678409_9:1.30582673822_10:0.988287623789,1:-0.0239362170833_2:-0.0251364663025_3:-0.0229822189025_4:-0.0236087739086_5:-0.0243288563569_6:-0.0231827423383_7:-0.0225980587999_8:-0.0237055498076_9:-0.0239262901928_10:-0.0238762656258,1:0.341201509699_2:0.169056552023_3:0.106314937546_4:0.183665030068_5:0.162648466532_6:0.0152328416876_7:0.209337758981_8:0.0125556889072_9:0.0225140897993_10:0.0131262239711,
