,auc,auc_control,auc_control_norm,auc_gp,auc_gp_control,auc_norm,average_angle,average_angle_control,average_angle_rel,average_angle_rel_control,delta_log_likelihood,drug,gp_deriv,gp_deriv_control,kl,kl_p_cvsc,kl_p_value,mRECIST,num_mCR,num_mPD,num_mPR,num_mSD,number_replicates,number_replicates_control,perc_mCR,perc_mPD,perc_mPR,perc_mSD,perc_true_credible_intervals,response_angle,response_angle_control,response_angle_rel,response_angle_rel_control,tgi,tumour_type
P0*C1,0:78.03911666666667_1:47.67790833333333_2:66.35683333333333_3:44.11765583333333_4:104.1459166666667_5:103.73497499999999,0:[273.83855]_1:[265.50471667],0:[0.6012353]_1:[0.59921942],0.7393241705096816,1.0251832241571568,0:0.29085798412852537_1:0.23901771642875572_2:0.291925138553956_3:0.3205207628978662_4:0.25644179457985145_5:0.3755317416942549,1.2447421564792926,1.4681052364539153,0.01951895701553317,0.07185169156596874,40.027902279153935,C1,0.04573219625862911,0.06271077377990253,13.467589005106765,0.011883173644599343,0.011979166666666667,0:mSD_1:mSD_2:mPD_3:mSD_4:mSD_5:mSD,0,1,0,5,6,2,0.0,0.16666666666666666,0.0,0.8333333333333334,66.66666666666666,0:1.2982315237434194_1:1.0193086201716626_2:1.2266994086067533_3:1.0461178482661084_4:1.3381835985052777_5:1.3136320991185522,0:1.479169357220593_1:1.4540159409065883,0:0.02320966449487053_1:0.01172225655817222_2:0.0206959474798698_3:0.021296356214458127_4:0.015899613968581847_5:0.02819604953313268,0:0.08055207430255873_1:0.06314080611397506,0.47968586051014295,no_tumour_type
P1*C1,0:11.55825333333333_1:2.4730066666666666_2:52.925823333333334_3:12.334360000000002_4:92.86291_5:71.32072333333335,0:[95.63580667]_1:[152.16813]_2:[111.72351]_3:[99.35134767]_4:[95.12159333]_5:[121.78359333],0:[0.35767087]_1:[0.50429073]_2:[0.56294836]_3:[0.54166457]_4:[0.37635204]_5:[0.34576362],0.7505997432599913,1.0007831862633356,0:0.052177382618057155_1:-0.00013417777378840756_2:0.1725419938963471_3:0.039451384591372235_4:0.2998503529138001_5:0.2946334615025746,1.3895069202446708,1.4845559521365175,0.033920177054629005,0.08632981327599008,15.39392880594788,C1,0.101812238248609,0.146674744035042,4.035185647252031,0.164080173456833,0.16510416666666666,0:mSD_1:mSD_2:mSD_3:mSD_4:mPD_5:mSD,0,1,0,5,6,6,0.0,0.16666666666666666,0.0,0.8333333333333334,71.42857142857143,0:1.2311426632286997_1:1.1862322912038186_2:1.3950462031074042_3:1.2095298102197358_4:1.4780024562706873_5:1.452425717124375,0:1.4815069353577084_1:1.4944133297248823_2:1.4880136706656188_3:1.467825852879262_4:1.473943350912339_5:1.4948518613225845,0:0.01760523691801974_1:0.013635982343728125_2:0.026972936410653296_3:0.02315560280722995_4:0.06698844854137467_5:0.06018851929095492,0:0.06919438571337963_1:0.0948322969251848_2:0.14483223609743137_3:0.1452024641156774_4:0.07363049504921455_5:0.06104578238267837,0.33311838299304386,no_tumour_type
P2*C1,0:47.091925_1:104.18116666666668_2:34.05304083333333_3:108.52505_4:197.03084166666667_5:104.60881666666666,0:[326.43774167]_1:[239.81746667]_2:[326.90369167]_3:[204.26228333]_4:[159.82494167],0:[0.49602797]_1:[0.56402725]_2:[0.49745832]_3:[0.53263263]_4:[0.50084238],0.9465636297470122,1.1485341710783414,0:0.24360623238599277_1:0.2599016215589073_2:0.25775048305182635_3:0.38890448793790755_4:0.5063626349192591_5:0.39924321338975405,1.3568989233784465,1.485760203242266,0.03262312862357428,0.06941863921032607,21.79754170635435,C1,0.06233151404632256,0.07693645888650306,3.875620648945085,0.17231009153022026,0.17135416666666667,0:mSD_1:mSD_2:mSD_3:mPD_4:mSD_5:mSD,0,1,0,5,6,5,0.0,0.16666666666666666,0.0,0.8333333333333334,73.33333333333333,0:0.9933538701176475_1:1.35857368440677_2:0.9750752613459441_3:1.4039106308522618_4:1.4649100077110204_5:1.3578762816466208,0:1.503654708459445_1:1.4746032183452076_2:1.5016944538558077_3:1.490103536834097_4:1.420591952575526,0:0.011527337535818664_1:0.019602482346704544_2:0.018628333916381246_3:0.040423803511210187_4:0.06795592272334466_5:0.04115738852868985,0:0.06137627768848648_1:0.07413689478368346_2:0.062495155958189386_3:0.10365312335149308_4:0.05875931232922508,0.22256574618918656,no_tumour_type
P3*C1,0:33.94572500000001_1:0.1829299999999976_2:20.761324999999996_3:25.288225000000004_4:14.416558333333342,0:[159.81198333]_1:[211.010575]_2:[234.51739167]_3:[269.78425833]_4:[245.02618333],0:[0.3802749]_1:[0.42401565]_2:[0.46916906]_3:[0.51507475]_4:[0.59849133],0.6332670979709722,1.2343279546324437,0:0.13759179451546286_1:0.00248348142704731_2:0.12431927153935339_3:0.10783057524448454_4:0.056702593403695344,0.41575020533750684,1.4013121425732102,0.0027817131179700937,0.0292565422198942,42.59973751311006,C1,0.02264605928593677,0.045534850796836765,14.600445005469707,0.007836169597535525,0.008333333333333333,0:mSD_1:mSD_2:mSD_3:mSD_4:mSD,0,0,0,5,5,5,0.0,0.0,0.0,1.0,100.0,0:0.7216479472157578_1:0.06534509318534709_2:0.5469223926132424_3:0.594602553726736_4:-0.023118527285468263,0:1.339124647528004_1:1.4081508406720875_2:1.4080407831841568_3:1.4116868541535397_4:1.4196033384883286,0:0.004648204870866382_1:0.000842099466507866_2:0.004573021247371469_3:0.003791427219017185_4:-0.00010753884125428866,0:0.020307056591744765_1:0.02544859758668977_2:0.028700073984562327_3:0.03029652860800434_4:0.04948975738086314,0.676044779393641,no_tumour_type
P4*C1,0:13.066953986666675_1:-36.848925153333354_2:0.25568364333332205_3:42.62244178666667_4:-7.076146036666666_5:18.5,0:[102.46050819]_1:[196.58964021]_2:[178.88211275]_3:[220.07585312]_4:[125.75]_5:[90.],0:[0.19262201]_1:[0.39069666]_2:[0.39796901]_3:[0.32172615]_4:[0.21797859]_5:[0.27412243],0.5647323161315948,0.7139429093070808,0:0.032060009834226036_1:-0.13815042697016494_2:0.0017066184494498177_3:0.16080429927573803_4:-0.03496038380725102_5:0.05133617277359907,1.2846292976964206,0.659867149320823,0.011562131003243721,0.002588336740219358,330.16112909795396,C1,0.03503522469137464,0.03179434545507364,5.005204305385602,0.12371857280449228,0.12395833333333334,0:mSD_1:mSD_2:mSD_3:mSD_4:mSD_5:mSD,0,0,0,6,6,6,0.0,0.0,0.0,1.0,78.57142857142857,0:1.3797665198214843_1:-0.07411038539708882_2:1.3268544849022006_3:1.4136073184786366_4:0.8791555046864594_5:1.3108572104020422,0:1.4828170256957829_1:1.5126106711042648_2:1.5110075951428545_3:1.5112294949041807_4:1.477923744685906_5:1.4485850575229906,0:0.013487722645976188_1:-0.00022530552359059552_2:0.013230420084069957_3:0.03234402489983267_4:0.005366997396841779_5:0.011498011619895292,0:0.03180965027978828_1:0.07387147650816056_2:0.07450215564591367_3:0.043579743288582766_4:0.02738209611148893_5:0.03875094294330482,0.875012581323563,no_tumour_type
P5*C1,0:87.79596570333335_1:-19.525631969999978_2:33.04815630999999_3:15.665927549999978_4:-15.68505046333331_5:11.14177575333333,0:[116.28266884]_1:[8.68561217]_2:[251.99710068]_3:[66.97638736]_4:[138.79644662]_5:[138.7775329],0:[0.47006363]_1:[0.01757351]_2:[0.45790115]_3:[0.38940537]_4:[0.44466854]_5:[0.42504089],0.2658931098728439,0.542846807437446,0:0.30597759986878237_1:-0.10413347068503438_2:0.27805719925852224_3:0.09877969998129799_4:-0.0958471289845106_5:0.05903763264870292,1.0396200160474347,1.0520438947633757,0.010030234914016053,0.010248414378460836,309.06177580372736,C1,0.017014977036417092,0.03613709735906885,3.8187863915457982,0.1755302882532348,0.17291666666666666,0:mPD_1:mSD_2:mPD_3:mSD_4:mSD_5:mSD,0,2,0,4,6,6,0.0,0.3333333333333333,0.0,0.6666666666666666,86.66666666666667,0:1.4248357088634058_1:-0.5290554042764646_2:1.1644404852373724_3:0.2798117803888646_4:-0.31831282341306705_5:1.0424567948798822,0:1.4461658140677482_1:1.3515462244434648_2:1.5148760120683145_3:1.4037434156719235_4:1.4403932717692656_5:1.4725457131348834,0:0.03257005153009142_1:-0.0025137266837423865_2:0.024196503995539253_3:0.0021025580957079975_4:-0.001914400212962043_5:0.009961239519408277,0:0.061734225800660514_1:0.018404437113574097_2:0.07800879066077876_3:0.06898941430205179_4:0.0447786914939483_5:0.06032256314443983,0.8712006677636442,no_tumour_type
P6*C1,0:173.552825_1:304.4458333333333_2:306.46591666666666_3:276.2019416666667_4:121.58020000000003_5:191.32847499999997_6:223.8959166666666_7:86.26832499999999_8:71.22370833333333_9:31.719945000000003_10:70.00916000000001_11:75.76055000000001,0:[313.90249167]_1:[161.34530833]_2:[185.44729167]_3:[297.26968333]_4:[361.0579]_5:[125.8384]_6:[107.74489167]_7:[451.292]_8:[197.29395833]_9:[100.95029167]_10:[50.46402333]_11:[47.83865667],0:[0.43585014]_1:[0.27627423]_2:[0.24461231]_3:[0.29741053]_4:[0.33861564]_5:[0.35071973]_6:[0.43761518]_7:[0.46007546]_8:[0.53040889]_9:[0.33922796]_10:[0.33848821]_11:[0.39169307],0.9832265118021946,0.962517909612914,0:0.3528471986635107_1:0.3036506810272793_2:0.3195984342489136_3:0.38672448980095914_4:0.20820326960127788_5:0.44349438884201686_6:0.2859790364146349_7:0.3342078689435491_8:0.33498355669871727_9:0.2350116812838241_10:0.47142643427826353_11:0.2686918257469296,1.4720745434064197,1.4734571131321645,0.03469841346510462,0.034224794366545776,-4.077110816069762e-06,C1,0.09604765354052773,0.10395662577946262,0.08936188633643674,0.8985313027410681,0.9276041666666667,0:mPD_1:mPD_2:mPD_3:mPD_4:mPD_5:mPD_6:mPD_7:mPD_8:mPD_9:mPD_10:mPD_11:mPD,0,12,0,0,12,12,0.0,1.0,0.0,0.0,100.0,0:1.5214683777337905_1:1.3721827190247018_2:1.460578619075318_3:1.4394566955014056_4:1.3936742847072463_5:1.514256240553893_6:1.4865400013776937_7:1.4840017880164273_8:1.4597917740358142_9:1.2494823828727004_10:1.4809137655189226_11:1.467737780950714,0:1.5173682694414463_1:1.5235805472292892_2:1.5017293447444908_3:1.5218810146589064_4:1.5300075673038007_5:1.4689179970440647_6:1.4386873841003507_7:1.534353900906415_8:1.5061068959543287_9:1.4650874659041617_10:1.297789370077913_11:1.2711744247765258,0:0.07458822793483509_1:0.008116147549716637_2:0.016200545756867697_3:0.021014982945200527_4:0.013166061130578482_5:0.09008074354752546_6:0.02464912059305325_7:0.07963328804094251_8:0.07653527020426908_9:0.03314394138311878_10:0.17372448366376222_11:0.055436746625788035,0:0.05752374151482952_1:0.0562718307353203_2:0.028818663974913717_3:0.03359191041010573_4:0.04077436273371379_5:0.05063836187388234_6:0.06662615327859997_7:0.06438084501928786_8:0.1102602954187269_9:0.056074233945542715_10:0.043893381053860696_11:0.05475702942925714,0.12732504971755532,no_tumour_type
P6*C2,0:188.44817499999996_1:228.0538833333333_2:71.58298333333332_3:74.36803333333332_4:180.43969166666665_5:100.79451666666668_6:94.30974999999998_7:98.11905833333334_8:62.38190833333334_9:28.683417499999994_10:100.48802500000001_11:28.769789999999997,0:[313.90249167]_1:[161.34530833]_2:[185.44729167]_3:[297.26968333]_4:[361.0579]_5:[125.8384]_6:[107.74489167]_7:[451.292]_8:[197.29395833]_9:[100.95029167]_10:[50.46402333]_11:[47.83865667],0:[0.43585014]_1:[0.27627423]_2:[0.24461231]_3:[0.29741053]_4:[0.33861564]_5:[0.35071973]_6:[0.43761518]_7:[0.46007546]_8:[0.53040889]_9:[0.33922796]_10:[0.33848821]_11:[0.39169307],0.8832176462655441,0.962517909612914,0:0.23088797600039326_1:0.2887789027190114_2:0.19617991227462706_3:0.27290408060821447_4:0.3103505214170565_5:0.1926787086660841_6:0.12129602976809413_7:0.27066964884210115_8:0.2598336754827405_9:0.20283387061977431_10:0.41415119590353594_11:0.2700159639856901,1.462253611218434,1.4734571131321645,0.031758766989575894,0.034224794366545776,0.1833985272673999,C2,0.08478184361861502,0.10395662577946262,0.02320758018591796,0.9210275833832761,0.9875,0:mPD_1:mPD_2:mPD_3:mPD_4:mPD_5:mPD_6:mSD_7:mPD_8:mPD_9:mPD_10:mPD_11:mPD,0,11,0,1,12,12,0.0,0.9166666666666666,0.0,0.08333333333333333,100.0,0:1.4557554229023124_1:1.4152619347370143_2:1.4622624555402135_3:1.4678467171111709_4:1.519708786066587_5:1.5070247699475172_6:1.0532507389921624_7:1.474267889463643_8:1.4425320493102933_9:1.3939697220671647_10:1.4856297643151088_11:1.3178488856657027,0:1.5173682694414463_1:1.5235805472292892_2:1.5017293447444908_3:1.5218810146589064_4:1.5300075673038007_5:1.4689179970440647_6:1.4386873841003507_7:1.534353900906415_8:1.5061068959543287_9:1.4650874659041617_10:1.297789370077913_11:1.2711744247765258,0:0.016267513766112116_1:0.01360362025878277_2:0.037718764285076936_3:0.055441719420956666_4:0.055626095559935175_5:0.0388603491711977_6:0.002677812926053866_7:0.04757354300722513_8:0.053586485618055575_9:0.060681929800019394_10:0.09821504062519658_11:0.05897515211553503,0:0.05752374151482952_1:0.0562718307353203_2:0.028818663974913717_3:0.03359191041010573_4:0.04077436273371379_5:0.05063836187388234_6:0.06662615327859997_7:0.06438084501928786_8:0.1102602954187269_9:0.056074233945542715_10:0.043893381053860696_11:0.05475702942925714,0.1995603181590312,no_tumour_type
P6*C3,0:125.5776166666667_1:169.73102500000002_2:11.695200000000005_3:77.47455833333333_4:82.39835833333336_5:119.11925833333333_6:9.457891666666661_7:27.141855000000003_8:61.51910833333334_9:28.946466666666666_10:72.16411666666667,0:[313.90249167]_1:[161.34530833]_2:[185.44729167]_3:[297.26968333]_4:[361.0579]_5:[125.8384]_6:[107.74489167]_7:[451.292]_8:[197.29395833]_9:[100.95029167]_10:[50.46402333]_11:[47.83865667],0:[0.43585014]_1:[0.27627423]_2:[0.24461231]_3:[0.29741053]_4:[0.33861564]_5:[0.35071973]_6:[0.43761518]_7:[0.46007546]_8:[0.53040889]_9:[0.33922796]_10:[0.33848821]_11:[0.39169307],0.4125622550018672,0.962517909612914,0:0.15606607170728615_1:0.2239527114760872_2:0.07045339857825478_3:0.17246379393600597_4:0.1519628181414282_5:0.2094293266612274_6:0.08314055645418522_7:0.2585616899700761_8:0.23224863023206735_9:0.17324512381695364_10:0.21484584472092288,1.1457193877548906,1.4734571131321645,0.007603129807716024,0.034224794366545776,1.3613268282144873,C3,0.03372459652868751,0.10395662577946262,0.5908739534900883,0.6952679456404659,0.6796875,0:mSD_1:mPD_2:mSD_3:mPD_4:mSD_5:mPD_6:mSD_7:mPD_8:mPD_9:mPD_10:mPD,0,7,0,4,11,12,0.0,0.6363636363636364,0.0,0.36363636363636365,100.0,0:1.3443392145084017_1:1.2790730061514688_2:0.6268492236495645_3:1.2315329757356435_4:-0.15530851309376684_5:1.4032555175542045_6:0.2426169623916508_7:0.7869611374193578_8:1.1888746338631349_9:0.7786347195521565_10:1.2021613975338625,0:1.5173682694414463_1:1.5235805472292892_2:1.5017293447444908_3:1.5218810146589064_4:1.5300075673038007_5:1.4689179970440647_6:1.4386873841003507_7:1.534353900906415_8:1.5061068959543287_9:1.4650874659041617_10:1.297789370077913_11:1.2711744247765258,0:0.0069727350286153626_1:0.006332199380799796_2:0.004729905051858529_3:0.00815291661443528_4:-0.00034715535722750764_5:0.014707292826519017_6:0.002516642395886867_7:0.015058310928352959_8:0.014147909271193243_9:0.007756300276111743_10:0.011461044240597944,0:0.05752374151482952_1:0.0562718307353203_2:0.028818663974913717_3:0.03359191041010573_4:0.04077436273371379_5:0.05063836187388234_6:0.06662615327859997_7:0.06438084501928786_8:0.1102602954187269_9:0.056074233945542715_10:0.043893381053860696_11:0.05475702942925714,0.6823080231958552,no_tumour_type
P6*C4,0:189.70993333333337_1:87.55563333333332_2:182.91979999999992_3:195.53561666666664_4:206.5522583333333_5:209.46022500000004_6:194.45636666666664_7:102.80970833333335_8:25.72834166666667_9:129.87083333333334_10:47.13384166666668_11:56.29654333333333_12:81.90803333333332,0:[313.90249167]_1:[161.34530833]_2:[185.44729167]_3:[297.26968333]_4:[361.0579]_5:[125.8384]_6:[107.74489167]_7:[451.292]_8:[197.29395833]_9:[100.95029167]_10:[50.46402333]_11:[47.83865667],0:[0.43585014]_1:[0.27627423]_2:[0.24461231]_3:[0.29741053]_4:[0.33861564]_5:[0.35071973]_6:[0.43761518]_7:[0.46007546]_8:[0.53040889]_9:[0.33922796]_10:[0.33848821]_11:[0.39169307],1.0148303776412821,0.962517909612914,0:0.4016955694792221_1:0.09512810420236949_2:0.18360332813000624_3:0.3292515410598039_4:0.29148185754349965_5:0.2987864384401837_6:0.2485100580770172_7:0.259549434085559_8:0.18116700589444043_9:0.39887496730907085_10:0.23549968296760732_11:0.4076870830778236_12:0.28241671105444527,1.4613050119076718,1.4734571131321645,0.02713849284204561,0.034224794366545776,-2.480223542988824e-06,C4,0.09928116594427587,0.10395662577946262,0.012180143368531965,0.9244988514627056,0.9953125,0:mPD_1:mPD_2:mSD_3:mPD_4:mPD_5:mPD_6:mPD_7:mPD_8:mPD_9:mPD_10:mPD_11:mPD_12:mPD,0,12,0,1,13,12,0.0,0.9230769230769231,0.0,0.07692307692307693,100.0,0:1.5075866128944604_1:1.3919295690724576_2:1.0673441444633571_3:1.4960955124807087_4:1.445028728914918_5:1.5174211956906782_6:1.3772826472523239_7:1.472332735833469_8:1.2328391283214266_9:1.4883043728997265_10:1.4271702551071184_11:1.4264856312496934_12:1.4814236069266655,0:1.5173682694414463_1:1.5235805472292892_2:1.5017293447444908_3:1.5218810146589064_4:1.5300075673038007_5:1.4689179970440647_6:1.4386873841003507_7:1.534353900906415_8:1.5061068959543287_9:1.4650874659041617_10:1.297789370077913_11:1.2711744247765258,0:0.068862400188256_1:0.0067773016479810945_2:0.0024704654914836756_3:0.03876535952642477_4:0.018175920570344187_5:0.04773679943055963_6:0.009991256223175305_7:0.042402312303589366_8:0.02782095311875195_9:0.0725716945404127_10:0.050151677343492435_11:0.102272759326179_12:0.06116992289723004,0:0.05752374151482952_1:0.0562718307353203_2:0.028818663974913717_3:0.03359191041010573_4:0.04077436273371379_5:0.05063836187388234_6:0.06662615327859997_7:0.06438084501928786_8:0.1102602954187269_9:0.056074233945542715_10:0.043893381053860696_11:0.05475702942925714,0.21044852558703975,no_tumour_type
